item_code,region,segment,format,sales_total,sales_mean,units_total,units_mean,price_mean,var_pct_mean,high_value_ratio,high_turnover_ratio,n_weeks,cluster,cluster_nombre
7501058752772,Area 4,Liquid & Gel,Liquido,5.92,0.0925,0.26,0.0040625,23.5321875,-99.83765625,0.0,0.234375,64,0,Presencia Marginal
7501058752772,Area 6,Liquid & Gel,Liquido,443.664,5.5458,15.120000000000001,0.189,29.80975,-95.56537499999999,0.0,0.8875,80,1,Volumen Diversificado
7501058753205,Area 1,Liquid & Gel,Liquido,0.021,0.021,0.001,0.001,21.0,-99.9,0.0,0.0,1,0,Presencia Marginal
7501058753205,Area 2,Liquid & Gel,Liquido,0.042,0.021,0.002,0.001,21.0,-99.9,0.0,0.0,2,0,Presencia Marginal
7501058753205,Area 3,Liquid & Gel,Liquido,0.074,0.074,0.003,0.003,24.67,-99.9,0.0,0.0,1,0,Presencia Marginal
7501058753205,Area 4,Liquid & Gel,Liquido,0.036,0.036,0.001,0.001,36.0,-99.9,0.0,0.0,1,0,Presencia Marginal
7501058753205,Area 5,Liquid & Gel,Liquido,0.203,0.029,0.009000000000000001,0.0012857142857142859,21.214285714285715,-99.88571428571429,0.14285714285714285,0.0,7,0,Presencia Marginal
7501058753205,Area 6,Liquid & Gel,Liquido,0.045,0.045,0.001,0.001,45.0,-99.9,1.0,0.0,1,0,Presencia Marginal
7501058753441,Area 1,Powder,Polvo,4038.053,50.4756625,164.405,2.0550625,24.509999999999998,-72.37112499999999,0.0,1.0,80,1,Volumen Diversificado
7501058753441,Area 2,Powder,Polvo,6025.597,75.3199625,259.439,3.2429875000000004,23.217125,-53.708375000000004,0.0,1.0,80,1,Volumen Diversificado
7501058753441,Area 3,Powder,Polvo,4079.378,50.992225000000005,184.47,2.305875,22.16375,-72.447125,0.0,1.0,80,1,Volumen Diversificado
7501058753441,Area 4,Powder,Polvo,3931.535,49.1441875,179.975,2.2496875,21.945249999999998,-71.113625,0.0,1.0,80,1,Volumen Diversificado
